metric,count,mean,std,median,min,max,q25,q75
address_spine_forward_bend_deg,423,28.974023006588574,5.719095107306855,29.61412142169745,2.4601387825975216,44.105323823493215,24.67047217851178,32.881407367222465
address_shoulder_alignment_deg,423,47.69888890146511,25.502403278116162,45.521698517482776,0.22080757125220885,89.7790146265065,27.066097255009083,71.26354419175323
top_shoulder_turn_deg,423,75.90199162314667,22.794826873456696,72.81773333608636,1.5873542245077377,178.9023184313746,62.62977797663321,84.97550813699763
top_pelvis_turn_deg,423,30.20029713714923,14.930919795072763,29.43523317860442,0.13942562130620217,85.70068436192989,19.879633977209735,38.78852609341054
mid_ds_hip_open_deg,423,31.575460840669503,15.488423886331141,31.261029298965937,0.1475134213995517,89.47617618843745,20.891990427912575,40.581065833323066
mid_ds_trail_elbow_flexion_deg,421,111.36260530915975,38.920326380105934,115.10518290398667,0.7280119950250992,179.69351488431354,89.21675482782351,136.4482243222851
impact_hip_open_deg,423,30.999152244404094,18.46878606116116,28.692267328959815,0.5627162943447104,86.40492834353176,16.82157007790351,39.98882299586103
impact_forward_shaft_lean_deg,393,33.2671913453707,9.886507208524744,33.2566406547314,0.04498313549842692,74.72000818752146,27.36252582410964,39.516294579967536
finish_balance_over_lead_foot_norm,423,0.14500381341898236,0.5695435411835951,0.15828162260271775,-3.383694243550485,2.885204731736091,-0.007881075741766391,0.32962650666888665
finish_shoulder_finish_deg,423,109.39122549588102,27.589730488796192,114.79022581634997,7.39224953861211,177.97562464216236,95.79520888258932,127.49520524369119
